DATE,CPALTT01USQ661S
2002-04-01,75.7189006133174
2002-07-01,76.1267475891321
2002-10-01,76.5767856314104
2003-01-01,77.3643522053974
2003-04-01,77.2377790060066
2003-07-01,77.8143902476756
2003-10-01,78.1097277129207
2004-01-01,78.7707210875169
2004-04-01,79.3895233956495
2004-07-01,79.8958161932126
2004-10-01,80.7537012113055
2005-01-01,81.1615481871202
2005-04-01,81.7100320511468
2005-07-01,82.947636667412
2005-10-01,83.7211395525778
2006-01-01,84.1571139060348
2006-04-01,84.9165531023794
2006-07-01,85.7181833651876
2006-10-01,85.3665911446577
2007-01-01,86.203521266407
2007-04-01,87.1798225443744
2007-07-01,87.7316816937182
2007-10-01,88.807835162316
2008-01-01,89.7697914776858
2008-04-01,90.9376401973979
2008-07-01,92.3397899728711
2008-10-01,90.2250330848279
2009-01-01,89.6044024971486
2009-04-01,90.0808802744107
2009-07-01,90.8559301653468
2009-10-01,91.5672715459228
2010-01-01,91.7124088145576
2010-04-01,91.6800623302688
2010-07-01,91.9488194236419
2010-10-01,92.693351109836
2011-01-01,93.6825909815189
2011-04-01,94.7477747728362
2011-07-01,95.3655926227514
2011-10-01,95.7936913104686
2012-01-01,96.3331744136496
2012-04-01,96.5365353540041
2012-07-01,96.972369070573
2012-10-01,97.6171892030248
2013-01-01,98.0095661211362
2013-04-01,97.9022601754304
2013-07-01,98.4317580595484
2013-10-01,98.795726326241
2014-01-01,99.4110127121683
2014-04-01,99.938963590516
2014-07-01,100.194641453285
2014-10-01,99.9457141611502
2015-01-01,99.2987844753752
2015-04-01,99.9759510921157
2015-07-01,100.353561136965
2015-10-01,100.345966745001
2016-01-01,100.283664603524
2016-04-01,101.085716776996
2016-07-01,101.514799922931
2016-10-01,102.159198144718
2017-01-01,102.841849600099
2017-04-01,103.025099465439
2017-07-01,103.513812651976
2017-10-01,104.320365205871
2018-01-01,105.13141814019
2018-04-01,105.788895592581
2018-07-01,106.217838101627
2018-10-01,106.63285755874
2019-01-01,106.821732899609
2019-04-01,107.744732796944
2019-07-01,108.089996357505
2019-10-01,108.793743346117
2020-01-01,109.063906808372
2020-04-01,108.208271980491
2020-07-01,109.45262716739
2020-10-01,110.111510988663
2021-01-01,111.129159511765
2021-04-01,113.404523726146
2021-07-01,115.2399757542
2021-10-01,117.543748620001
