DATE,LRUN64TTUSQ156S
2016-04-01,4.97209112023617
2016-07-01,4.96428392374618
2016-10-01,4.84519494413246
2017-01-01,4.64141620058656
2017-04-01,4.38986573207678
2017-07-01,4.39544703088722
2017-10-01,4.19558207787316
2018-01-01,4.12789318266818
2018-04-01,3.94936629712241
2018-07-01,3.81269814573255
2018-10-01,3.85924839532883
2019-01-01,3.91336090482806
2019-04-01,3.63199486118577
2019-07-01,3.68946845104683
2019-10-01,3.62570421083264
2020-01-01,3.92010157500229
2020-04-01,13.1828088256609
2020-07-01,8.74092961509123
2020-10-01,7.0363063705013
2021-01-01,6.23711351087518
2021-04-01,5.91290583572925
2021-07-01,5.12342618835671
2021-10-01,4.30420562890998
